ID do Card,Responsável,Whatsapp Nome Fornecedor,Whatsapp Número Fornecedor,Status,Data de Criação,Última Alteração,Etiquetas,Prioridade,Nome Card,Período do contrato (Meses),Dias antes do vencimento para receber fatura,Valor,Dia de vencimento,Meio de pagamento,Designação,Data de início do contrato,Cobranças avulsas,Link da card na Viabilidade,Card ID na Viabilidade,Unnamed: 20,Unnamed: 21,Unnamed: 22,
1581074,Jurídico,Alexandre Guerreiro,554187780165,Cancelado,24/03/2025,24/03/2025,-,Sem prioridade,TESTE IMPORT SISTEMA ZAPFORM - PEDIDO DE CONEXÃO NOVA - BRADESCO - 3G/4G AQUÁRIO - Ponto A: DA RELAÇÃO,12,10,180,15,Boleto Bancário,DESIGN TESTE,-,[],https://app.zapform.com.br/c/726/workflow/1580801,1580801,-,,,
1679397,Jurídico,GLOBO NET INFORMATICA,554498630042,Contrato Ativo,28/04/2025,28/04/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - QUERO-QUERO - BANDA LARGA IPV4 / IP DEDICADO IPV4 - LOJA 628 - CENTENARIO - LINK PRINCIPAL - CUL5010004,11,10,"209,90",25,Boleto Bancário,CUL5010004,04/09/2023,"[{' Cobrança avulsa': 1, '01 - Dias antes do vencimento': 10, '02 - Valor': 20990, '03 - Data de vencimento': '28/04/2025', '04 - Meio de pagamento': 'OptionList;1;Boleto Bancário;Cartão de Crédito;Transferência Bancária;PIX', '05 - Designação': 'CUL5010004'}]",https://app.zapform.com.br/c/726/workflow/1679307,1679307,-,,,
1581110,Jurídico,Alexandre Guerreiro,554187780165,Cancelado,24/03/2025,24/03/2025,-,Sem prioridade,TESTE IMPORT SISTEMA ZAPFORM - PEDIDO DE CONEXÃO NOVA - BRADESCO - 3G/4G AQUÁRIO - Ponto A: DA RELAÇÃO,12,10,180,15,Boleto Bancário,DESIGN TESTE,-,[],https://app.zapform.com.br/c/726/workflow/1580801,1580801,-,,,
1581124,Jurídico,Alexandre Guerreiro,554187780165,Cancelado,24/03/2025,31/03/2025,-,Sem prioridade,TESTE IMPORT SISTEMA ZAPFORM - PEDIDO DE CONEXÃO NOVA - BRADESCO - 3G/4G AQUÁRIO - Ponto A: DA RELAÇÃO,2,10,180,15,Boleto Bancário,DESIGN TESTE,19/04/2023,[],https://app.zapform.com.br/c/726/workflow/1580801,1580801,-,,,
1720419,Jurídico,Alexandre Guerreiro,554187780165,Cancelado,16/05/2025,09/06/2025,-,Sem prioridade,-,12,10,200,25,Boleto Bancário,XPTO1,16/05/2025,"[{' Cobrança avulsa': 1, '01 - Dias antes do vencimento': 10, '02 - Valor': 1000, '03 - Data de vencimento': '30/05/2025', '04 - Meio de pagamento': 'OptionList;1;Boleto Bancário;Cartão de Crédito;Transferência Bancária;PIX', '05 - Designação': 'XPTO3'}]",https://app.zapform.com.br/c/726/workflow/1720374,1720374,-,,,
1851496,Jurídico,BRASIL TECPAR TELECOM 2,5915133785980,Contrato Ativo,23/07/2025,23/07/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - AMERICANAS S.A - BANDA LARGA - L765 - BEST CENTER TAUBATÉ EXPRESS,12,10,"45,37",25,Boleto Bancário,TTE5010534,08/07/2024,[],https://app.zapform.com.br/c/726/workflow/1850550,1850550,-,,,
1851513,Jurídico,BRASIL TECPAR AVATO,2565133785980,Contrato Ativo,23/07/2025,23/07/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - AMERICANAS S.A - BANDA LARGA - L765 - BEST CENTER TAUBATÉ EXPRESS,12,10,"10,91",25,Boleto Bancário,TTE5010534,08/07/2024,[],https://app.zapform.com.br/c/726/workflow/1850559,1850559,-,,,
1851514,Jurídico,CABO SERVIÇOS DE TELECOMUNICAÇÕES,558521811027,Contrato Ativo,23/07/2025,23/07/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - COCAMAR - IP DEDICADO /30 - SALTO GRANDE,24,10,"850,00",10,Boleto Bancário,STG5010003,10/06/2025,[],https://app.zapform.com.br/c/726/workflow/1274310,1274310,-,,,
1523860,Jurídico,Alexandre Guerreiro,554187780165,Cancelado,24/02/2025,25/02/2025,-,Sem prioridade,-,-,-,-,-,-,-,-,-,-,-,-,,,
1523865,Jurídico,Alexandre Guerreiro,554187780165,Cancelado,24/02/2025,25/02/2025,-,Sem prioridade,-,12,3,130,5,PIX,-,-,"[{'01 - Dias antes do vencimento': 3, '02 - Valor': 80, '03 - Data de vencimento': '2025-02-25T03:00:00.000Z', '04 - Meio de pagamento': 'OptionList;1;Boleto Bancário;Cartão de Crédito;Transferência Bancária;PIX'}, {'01 - Dias antes do vencimento': 3, '02 - Valor': 90, '03 - Data de vencimento': '2025-02-28T03:00:00.000Z', '04 - Meio de pagamento': 'OptionList;2;Boleto Bancário;Cartão de Crédito;Transferência Bancária;PIX', '05 - Designação': 'teste'}]",https://app.zapform.com.br/c/726/workflow/1330675,1330675,-,,,
