ID do Card,Responsável,Status,Status Código,Etiquetas,Sprint,01. Tarefa,01.1 Escopo da Tarefa,02. Horas Estimadas,
1599517,Celiene,Cancelado,X,Interno Nava,-,Separar notas dos maiores fornecedores,"Para a melhorar a assertividade do robo que lê as NFs de fornecedores, os modelos específicos serão criados para as NFs de cada fornecedor.  Precisamos definir os fornecedores prioritários, portanto se concordar, vamos começar pelos maiores players. Os fornecedores que mais nos atendem. 
Por favor adicione neste ticket NFs destes players para que passemos ao desenvolvedor do robô. ",-,-
1557540,Operação,Concluído,E,Interno Nava,-,Base Lasa/ Quero Quero: Informações para saneamento ,-,-,-
1647658,Zapform,Concluído,E,-,SPRINT 06_(14~18abr.25),Retificar pedidos criados no Zapform conforme planilha anexa.,"Retificar pedidos criados no Zapform conforme planilha anexa. São pedidos que tinham inconsistência na planilha inicial de importação.
",20,-
1563183,Zapform,Concluído,E,-,SPRINT 03_(24~28mar.25),Desenvolver funcionalidade para ler RM e dar baixa de pagamento no Zapform e NF.,,50,-
1649724,Zapform,Concluído,E,-,SPRINT 06_(14~18abr.25),Consumo de Horas Daily,-,5,-
1557588,Zapform,Concluído,E,Dependência ,SPRINT 02_(17~21mar.25),Cancelamento Massivo de contratos no RM após Migração - Lote 1 ,,15,-
1764966,Julio,Refinamento,4,-,-,-,-,-,-
1563254,Zapform,Concluído,E,-,SPRINT 02_(17~21mar.25),Consumo de Horas Daily,-,5,-
1546878,Zapform,Concluído,E,Aguardando Aprovação,SPRINT 01_(10~14mar.25),Popular card de pedido criado pelo Zapform com todas as informações do RM,,20,-
1546879,Zapform,Concluído,E,Aguardando Aprovação,SPRINT 01_(10~14mar.25),Adicionar nome do card no campo histórico do pedido no RM,,8,-
1546880,Suprimentos,Concluído,E,Interno Nava,-,-,-,-,-
1546881,Suprimentos,Concluído,E,Interno Nava,-,-,-,2,-
1546882,Zapform,Concluído,E,Aguardando Aprovação,SPRINT 01_(10~14mar.25),Base Piloto - Migrar fornecedores da planilha de suprimento para o Zapform,,40,-
1700486,Zapform,Concluído,E,Aprovado pela NAVA,SPRINT 09_(05~09mai.25),Criar tipo de usuário para Assessoria,"Usuários da Assessoria deverão acessar os cards da coluna 2 - Assessoria e poder definir os substatus relativos a procura da NF.
Se atentar que os consultores não tenham acesso aos cards de outras colunas via board ou através de funções como Gerar Relatório  (menu esquerda)",8,-
1765001,Zapform,Concluído,E,-,SPRINT 13_(02~06jun.25),Consumo de Horas Daily,-,5,-
1765021,Zapform,Concluído,E,-,SPRINT 14_(09~13jun.25),Consumo de Horas Daily,-,5,-
1708701,Zapform,Concluído,E,Aprovado pela NAVA,SPRINT 10_(12~16mai.25),Criar nova coluna para contemplar validação da Assessoria,"- Mudar nome de coluna Aguardando NF para Assessoria
- Criar nova coluna Aguardando NF
O critério de entrada para a coluna Assessoria é o atual critério
A promoção da coluna Assessoria para Aguardando NF serão os cards com substatus preenchido com Validado Assessoria
",30,-
1551021,Governança,Impedimento,B,"Dependência , Interno Nava",-,Validação da entrega dos KPIs,,-,-
1628344,Julio,Análise,1,-,-,Funcionalidades de Filtro: ,"Capacidade de filtrar os cards no Kanban por projeto e por status específico, facilitando a visualização e gestão direcionada de tarefas e projetos. ",-,-
1619643,Celiene,Concluído,E,Interno Nava,-,Validar Dados importados,Validar o que foi importado da planilha de contratos e os pedidos gerados pelo ZapForm,-,-
1753790,Zapform,Análise,1,-,-,-,-,-,-
1620166,Zapform,Concluído,E,-,SPRINT 04_(31~04abr.25),Consumo de Horas Daily,-,5,-
1831627,Zapform,Concluído,E,-,-,-,-,-,-
