ID do Card,Responsável,Status,Status Código,Etiquetas,Sprint,01. Tarefa,01.1 Escopo da Tarefa,02. Horas Estimadas,
1619643,Celiene,Concluído,E,Interno Nava,-,Validar Dados importados,Validar o que foi importado da planilha de contratos e os pedidos gerados pelo ZapForm,-,-
1563408,Celiene,Cancelado,X,Interno Nava,-,-Saneamento : Análise e priorização da planilha da Lasa - Fase 2 62 novos,-,-,-
1557588,Zapform,Concluído,E,Dependência ,SPRINT 02_(17~21mar.25),Cancelamento Massivo de contratos no RM após Migração - Lote 1 ,,15,-
1552621,Suprimentos,Cancelado,X,Interno Nava,-,-,-,-,-
1546881,Suprimentos,Concluído,E,Interno Nava,-,-,-,2,-
1546880,Suprimentos,Concluído,E,Interno Nava,-,-,-,-,-
1874353,Celiene,Escopo,2,-,-,-,-,-,-
1874352,Celiene,Análise,1,-,-,-,-,-,-
1874340,Celiene,Impedimento,B,-,-,-,-,-,-
1874338,Celiene,Aprovação B2,3,-,-,-,-,-,-
1831638,Zapform,Concluído,E,-,-,-,-,-,-
1831637,Zapform,Concluído,E,-,-,-,-,-,-
1831636,Zapform,Concluído,E,-,-,-,-,-,-
1831635,Zapform,Concluído,E,-,-,-,-,-,-
1831634,Zapform,Concluído,E,-,-,-,-,-,-
1831633,Zapform,Concluído,E,-,-,-,-,-,-
1831632,Zapform,Concluído,E,-,-,-,-,-,-
1831631,Zapform,Concluído,E,-,-,-,-,-,-
1831630,Zapform,Concluído,E,-,-,-,-,-,-
1831629,Zapform,Concluído,E,-,-,-,-,-,-
1831628,Zapform,Concluído,E,-,-,-,-,-,-
1831627,Zapform,Concluído,E,-,-,-,-,-,-
1765021,Zapform,Concluído,E,-,SPRINT 14_(09~13jun.25),Consumo de Horas Daily,-,5,-
1765001,Zapform,Concluído,E,-,SPRINT 13_(02~06jun.25),Consumo de Horas Daily,-,5,-
1764966,Julio,Refinamento,4,-,-,-,-,-,-
1753790,Zapform,Análise,1,-,-,-,-,-,-
1748462,Zapform,Concluído,E,-,SPRINT 12_(26~30mai.25),Aumento da Frequência de Verificação Fiscal,"Ajuste no intervalo de tempo das verificações automáticas da coluna Fiscal, tornando o processo mais responsivo.",2,-
1748460,Zapform,Concluído,E,-,SPRINT 12_(26~30mai.25),Correção de Inconsistências RM x Zapform,Diagnóstico e correção de divergências nos dados sincronizados entre o sistema RM e a plataforma Zapform.,6,-
1748459,Zapform,Concluído,E,-,SPRINT 13_(02~06jun.25),Campo de Prazo Final Vinculado ao Prev_Recebimento,"Criação de campo exclusivo para representar o prazo final do card, baseado automaticamente na previsão de recebimento (Prev_Recebimento).",16,-
1748458,Celiene,Cancelado,X,-,-,-,-,-,-
1748457,Zapform,Concluído,E,-,SPRINT 12_(26~30mai.25),Botão “Consultar NF” no Supply e Fiscal,"Inclusão de botão funcional nas visualizações dos setores Supply e Fiscal, permitindo acesso rápido à Nota Fiscal.",16,-
1748452,Zapform,Concluído,E,-,SPRINT 12_(26~30mai.25),Organização e Automação de Etiquetas,Estruturação e automação das etiquetas para melhor categorização dos cards e otimização dos filtros.,5,-
1748450,Zapform,Concluído,E,-,SPRINT 12_(26~30mai.25),Atualização do Mês de Referência no Banco de Dados,"Inclusão do campo de mês de referência em todos os cards existentes, com atualização retroativa no banco de dados.",8,-
1748449,Zapform,Concluído,E,-,-,Relatório de E-mails Enviados ao Fiscal,Geração de relatório detalhado com os registros de e-mails enviados automaticamente ao setor Fiscal.,2,-
1748448,Zapform,Concluído,E,-,SPRINT 12_(26~30mai.25),Disparo de E-mails “DOCUMENTOS BOM PARA PAGAMENTO”,Configuração da automação para envio de e-mails sinalizando que documentos estão prontos para pagamento. Teste concluído com sucesso.,4,-
1748447,Julio,Concluído,E,-,-,Daily Sprint 12 - 26/05~30/05,-,1.25,-
