ID da Ordem,Etapa,Código do Status,Modificado por,SLA,Data do Evento,Data Início Execução,Data Final Execução,Prazo Máximo,Duração Total,Duração Útil,Status SLA,Excedido Total (min),Excedido Útil (min)
1875746,Vendedor - Nova Encomenda,1,-,-,2025-08-09 11:29:07,09/08/2025 11:29,09/08/2025 12:22,-,0.04 dias,-,-,-,-
1875746,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-09 12:22:41,09/08/2025 12:22,09/08/2025 12:37,09/08/2025 12:22,0.01 dias,0.01 dias,Atrasado,14.45,14.43
1875729,Vendedor - Nova Encomenda,1,-,-,2025-08-09 10:56:22,09/08/2025 10:56,09/08/2025 12:27,-,0.06 dias,-,-,-,-
1875729,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-09 12:27:46,09/08/2025 12:27,09/08/2025 13:09,09/08/2025 12:27,0.03 dias,0.03 dias,Atrasado,41.75,41.73
1875724,Vendedor - Nova Encomenda,1,-,-,2025-08-09 10:35:27,09/08/2025 10:35,09/08/2025 12:30,-,0.08 dias,-,-,-,-
1875724,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-09 12:30:22,09/08/2025 12:30,09/08/2025 13:47,09/08/2025 12:30,0.05 dias,0.05 dias,Atrasado,77.31,77.3
1875721,Vendedor - Nova Encomenda,1,-,-,2025-08-09 10:30:31,09/08/2025 10:30,09/08/2025 12:31,-,0.08 dias,-,-,-,-
1875721,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-09 12:31:43,09/08/2025 12:31,09/08/2025 14:12,09/08/2025 12:31,0.07 dias,0.07 dias,Atrasado,100.34,100.33
1875714,Vendedor - Nova Encomenda,1,-,-,2025-08-09 10:13:52,09/08/2025 10:13,09/08/2025 12:21,-,0.09 dias,-,-,-,-
1875714,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-09 12:21:21,09/08/2025 12:21,09/08/2025 12:35,09/08/2025 12:21,0.01 dias,0.01 dias,Atrasado,14.31,14.3
1875712,Vendedor - Nova Encomenda,1,-,-,2025-08-09 10:13:45,09/08/2025 10:13,09/08/2025 12:31,-,0.1 dias,-,-,-,-
